region,RD,GRP,Wage,Unemp,ExpSci,HEdu,ExpEdu,Lib,Doc,JanTemp,JulTemp,SO2,Green
Beijing,44241,16.42120706,166803,1.3,2012.163417,93,5279.387187,23,4.92,-1.7,28.0,4,16.40
Tianjin,45685,9.029628681,108002,3.5,703.7772087,56,2993.790013,29,2.97,-1.5,28.0,11,9.21
Hebei,76096,4.623883035,72956,3.1,119.4678609,122,2024.618019,173,3.01,-0.7,28.3,16,14.29
Shanxi,27478,4.566017699,69551,2.7,154.7868061,82,1867.203003,128,2.84,-4.7,25.4,22,12.63
Inner Mongolia,15001,6.776586614,80563,3.7,112.1653543,53,2401.456693,117,3.08,-9.8,21.4,15,18.71
Liaoning,52104,5.723678768,72891,4.2,170.1056985,115,1613.924632,130,2.85,-7.7,25.9,21,11.97
Jilin,11849,4.357792642,73813,3.1,145.5964326,62,1860.014864,66,2.94,-9.9,24.6,11,12.54
Heilongjiang ,15054,3.629080245,68416,3.5,112.3966942,81,1479.952013,110,2.49,-13.3,23.7,17,12.43
Shanghai,80694,15.7147117,149377,3.6,1604.365733,64,4100.906096,23,3.08,5.8,27.5,7,8.73
Jiangsu,508375,12.34591326,96527,3.0,708.8475836,167,2743.296159,117,3.16,4.1,28.3,10,14.98
Zhejiang,451752,10.65841709,99654,2.5,882.1538462,108,3016.564103,103,3.51,5.9,28.2,7,14.03
Anhui,124491,5.830031417,79037,2.6,593.7009111,120,1919.902608,127,2.17,2.8,28.3,6,14.80
Fujian,126089,10.67077775,81814,3.5,335.7915933,90,2437.805185,94,2.50,12.5,29.0,5,15.03
Jiangxi,85032,5.305936562,73725,2.9,392.0274325,103,2461.42306,114,2.07,6.2,28.8,9,14.53
Shandong,198205,7.057351539,81446,3.3,303.6345581,146,2141.151936,154,3.13,0.8,28.7,15,17.57
Henan,140361,5.628547718,67268,3.2,218.9522822,141,1878.329876,164,2.61,1.4,29.8,9,13.59
Hubei,115743,7.732125865,79303,2.4,538.6873629,128,1935.380462,116,2.59,3.7,29.3,9,11.96
Hunan,106946,5.746186759,74316,2.7,248.5111304,125,1835.819601,141,2.75,4.3,28.0,7,11.81
Guangdong,642490,9.345635796,98889,2.3,1014.48659,154,2786.659144,146,2.53,15.0,28.7,7,18.13
Guangxi,22102,4.281681452,76479,2.6,145.8266129,78,2045.403226,116,2.32,12.4,28.1,9,13.52
Hainan,1779,5.617915344,82227,2.3,318.5185185,20,2894.179894,24,2.53,19.4,29.7,5,10.57
Chongqing,62424,7.556264405,86559,2.6,253.6171575,65,2331.177977,43,2.67,8.7,27.9,7,16.61
Sichuan,78289,5.56606806,83367,3.3,220.8358209,126,1885.229851,206,2.65,5.8,24.6,6,14.03
Guizhou,23164,4.628578526,83298,3.1,315.0151808,72,2946.784433,98,2.48,4.4,22.7,10,16.38
Yunnan,29440,4.780516674,86585,3.3,121.449156,81,2202.243722,151,2.35,9.9,20.8,11,11.88
Tibet,264,4.837094017,118118,2.9,207.4074074,7,7500.2849,81,2.66,-1.9,16.3,6,9.80
Shaanxi,42983,6.654584623,78361,3.2,184.1589267,95,2454.153767,111,2.80,1.0,27.5,9,11.62
Gansu,8547,3.293653192,73607,3.0,111.0313563,49,2402.908954,104,2.37,-8.2,20.6,18,14.28
Qinghai,2379,4.878207237,90929,2.2,170.5592105,12,3640.953947,52,2.86,-7.2,16.5,17,11.93
Ningxia,8073,5.393496403,83947,3.7,449.7841727,19,2580.28777,27,2.99,-6.8,24.5,15,21.05
Xinjiang,4698,5.389262782,79421,2.1,161.7518827,54,3420.808561,107,2.69,-11.3,25.7,8,14.88
