region,RD,GRP,Wage,Unemp,ExpSci,HEdu,ExpEdu,Lib,Doc,JanTemp,JulTemp,SO2,Green
Beijing,125390,35371.28,166803,1.3,433.42,93,1137.18,23,4.92,-1.7,28.0,4,16.40
Tianjin,9962,14104.28,108002,3.5,109.93,56,467.63,29,2.97,-1.5,28.0,11,9.21
Hebei,11732,35104.52,72956,3.1,90.70,122,1537.09,173,3.01,-0.7,28.3,16,14.29
Shanxi,5718,17026.68,69551,2.7,57.72,82,696.28,128,2.84,-4.7,25.4,22,12.63
Inner Mongolia,3901,17212.53,80563,3.7,28.49,53,609.97,117,3.08,-9.8,21.4,15,18.71
Liaoning,16005,24909.45,72891,4.2,74.03,115,702.38,130,2.85,-7.7,25.9,21,11.97
Jilin,9011,11726.82,73813,3.1,39.18,62,500.53,66,2.94,-9.9,24.6,11,12.54
Heilongjiang ,7224,13612.68,68416,3.5,42.16,81,555.13,110,2.49,-13.3,23.7,17,12.43
Shanghai,36405,38155.32,149377,3.6,389.54,64,995.70,23,3.08,5.8,27.5,7,8.73
Jiangsu,29191,99631.52,96527,3.0,572.04,167,2213.84,117,3.16,4.1,28.3,10,14.98
Zhejiang,10975,62351.74,99654,2.5,516.06,108,1764.69,103,3.51,5.9,28.2,7,14.03
Anhui,12115,37113.98,79037,2.6,377.95,120,1222.21,127,2.17,2.8,28.3,6,14.80
Fujian,6165,42395.00,81814,3.5,133.41,90,968.54,94,2.50,12.5,29.0,5,15.03
Jiangxi,6461,24757.50,73725,2.9,182.92,103,1148.50,114,2.07,6.2,28.8,9,14.53
Shandong,14237,71067.53,81446,3.3,305.76,146,2156.14,154,3.13,0.8,28.7,15,17.57
Henan,14754,54259.20,67268,3.2,211.07,141,1810.71,164,2.61,1.4,29.8,9,13.59
Hubei,13603,45828.31,79303,2.4,319.28,128,1147.10,116,2.59,3.7,29.3,9,11.96
Hunan,7833,39752.12,74316,2.7,171.92,125,1270.02,141,2.75,4.3,28.0,7,11.81
Guangdong,24335,107671.07,98889,2.3,1168.79,154,3210.51,146,2.53,15.0,28.7,7,18.13
Guangxi,5413,21237.14,76479,2.6,72.33,78,1014.52,116,2.32,12.4,28.1,9,13.52
Hainan,2446,5308.93,82227,2.3,30.10,20,273.50,24,2.53,19.4,29.7,5,10.57
Chongqing,11142,23605.77,86559,2.6,79.23,65,728.26,43,2.67,8.7,27.9,7,16.61
Sichuan,41203,46615.82,83367,3.3,184.95,126,1578.88,206,2.65,5.8,24.6,6,14.03
Guizhou,4864,16769.34,83298,3.1,114.13,72,1067.62,98,2.48,4.4,22.7,10,16.38
Yunnan,8332,23223.75,86585,3.3,59.00,81,1069.85,151,2.35,9.9,20.8,11,11.88
Tibet,698,1697.82,118118,2.9,7.28,7,263.26,81,2.66,-1.9,16.3,6,9.80
Shaanxi,32993,25793.17,78361,3.2,71.38,95,951.23,111,2.80,1.0,27.5,9,11.62
Gansu,7263,8718.30,73607,3.0,29.39,49,636.05,104,2.37,-8.2,20.6,18,14.28
Qinghai,1182,2965.95,90929,2.2,10.37,12,221.37,52,2.86,-7.2,16.5,17,11.93
Ningxia,725,3748.48,83947,3.7,31.26,19,179.33,27,2.99,-6.8,24.5,15,21.05
Xinjiang,4044,13597.11,79421,2.1,40.81,54,863.07,107,2.69,-11.3,25.7,8,14.88
