region,year,RD,GRP,Wage,Unemp,ExpSci,HEdu,Stu,Bed,SO2,Green,Lib
Beijing,2016,111272,106009.1663,111390,1.4,5.015947157,91,232.9221557,5.14,7.12,16.00,24
Tianjin,2016,10336,106904.9127,80090,3.5,3.737837796,55,215.970265,4.12,18.59,10.13,31
Hebei,2016,9400,40142.90909,50921,3.6,0.807856269,118,91.92754209,4.61,110.84,14.18,172
Liaoning,2016,14758,65424.50936,52332,3.4,1.537840196,116,162.223414,6.09,96.88,11.52,129
Shanghai,2016,33943,104030.8489,109174,4.0,4.390654375,67,152.063354,5.08,17.08,7.62,25
Jiangsu,2016,25283,87909.20261,66196,3.0,3.839555389,162,129.4516048,5.19,83.51,14.55,114
Zhejiang,2016,8618,77426.41271,66668,2.9,3.773559355,105,109.8353493,4.92,53.78,13.19,100
Fujian,2016,4977,67673.40453,57628,3.7,1.914243874,88,128.1008075,4.51,33.79,12.98,90
Shandong,2016,12660,63981.24302,57270,3.4,1.927876451,143,99.10185843,5.27,152.57,17.36,154
Guangdong,2016,15739,67114.52668,65788,2.5,4.439966323,143,95.93363444,4.02,67.83,17.40,140
Hainan,2016,1199,40645.00549,57600,2.3,0.998846244,17,116.3062569,4.25,3.23,12.96,21
Beijing,2017,113675,118127.6116,119928,1.4,4.460594028,91,235.5057524,5.39,3.32,16.01,24
Tianjin,2017,10907,114503.137,86305,3.5,3.383764526,55,215.9103713,4.21,7.06,10.59,31
Hebei,2017,10142,42932.32932,55334,3.7,1.209680752,120,94.87456493,4.83,78.94,14.31,172
Liaoning,2017,15453,50815.21243,56015,3.8,1.345940006,116,162.3072179,6.50,50.77,11.33,130
Shanghai,2017,33804,116440.7025,119935,4.1,4.938762296,64,153.4157025,5.34,7.42,7.83,24
Jiangsu,2017,26019,96747.44343,71574,3.0,3.817086023,166,133.6355794,5.54,57.01,14.79,114
Zhejiang,2017,9019,84528.37209,73326,2.9,3.857613568,107,109.2497317,5.19,26.84,13.17,102
Fujian,2017,5405,74369.07589,61973,3.9,1.877719044,88,128.8551884,4.51,18.93,13.08,90
Shandong,2017,15213,68386.94079,62539,3.5,1.907435687,144,101.4768272,5.44,113.45,17.91,154
Guangdong,2017,17452,73511.14647,72326,2.5,5.525546832,147,97.89553596,4.23,35.37,17.87,142
Hainan,2017,2143,44200.65431,61663,2.4,1.139864001,18,117.4013086,4.40,1.70,12.02,23
Beijing,2018,119429,129041.6398,131700,1.4,5.300877863,92,237.341778,5.56,2.01,16.20,23
Tianjin,2018,13206,119134.1683,94534,3.5,3.533544146,57,219.5086705,4.39,5.56,14.15,32
Hebei,2018,10435,45234.46809,63036,3.7,1.04048994,121,97.84933511,5.25,60.24,14.52,173
Liaoning,2018,16409,53580.31586,61153,3.8,1.175959438,115,160.7729458,6.83,38.97,12.07,130
Shanghai,2018,32821,126687.3036,129795,3.9,5.165866856,64,155.5632754,5.57,1.85,8.19,24
Jiangsu,2018,28364,106949.508,78267,3.0,4.029835148,167,136.6277245,5.84,41.07,14.95,115
Zhejiang,2018,9572,91511.86141,80750,2.7,4.030373211,107,108.9404278,5.54,19.05,13.32,101
Fujian,2018,5703,82286.09051,67420,3.9,2.122903835,89,127.189977,4.66,13.39,14.13,90
Shandong,2018,14624,72590.59564,68081,3.4,2.114512227,145,103.6197282,5.84,73.91,17.84,154
Guangdong,2018,17635,80316.25929,79183,2.5,5.47891003,151,99.00205927,4.41,27.68,18.24,143
Hainan,2018,2278,48191.57667,67727,2.3,0.863591349,19,119.2095032,4.53,1.43,12.16,23
Beijing,2019,121093,140761.2813,145766,1.4,5.69997979,92,241.8286908,5.74,2.01,16.30,23
Tianjin,2019,9618,120574.6154,100731,3.5,3.437785999,56,224.7730769,4.37,5.56,9.38,29
Hebei,2019,11232,47657.84807,68717,3.3,0.997125369,122,102.5248809,5.58,60.24,14.23,173
Liaoning,2019,14386,58076.04955,67324,3.9,1.406031039,115,158.8940124,7.21,38.97,12.04,130
Shanghai,2019,32522,134817.9455,140400,3.5,5.105285971,64,158.1926568,5.74,1.85,8.49,23
Jiangsu,2019,28774,115011.0545,84688,3.0,4.351846689,167,139.2670476,6.11,41.07,14.66,116
Zhejiang,2019,10423,97955.63884,88883,2.6,4.399544355,108,108.8908837,5.79,19.05,13.73,103
Fujian,2019,5781,90850.13956,74316,3.7,2.384800184,89,128.2641462,4.88,13.39,14.62,91
Shandong,2019,15240,76111.94386,73593,3.4,2.304137429,145,106.3181049,6.06,73.91,17.64,154
Guangdong,2019,18187,85737.5022,88636,2.4,6.578249708,152,99.88471708,4.56,27.68,18.34,143
Hainan,2019,2298,51735.01071,75885,2.3,0.889256785,20,122.0995717,4.80,1.43,10.23,24
Beijing,2020,125390,164212.071,166803,1.3,5.850551889,93,244.854689,5.93,0.47,16.40,23
Tianjin,2020,9962,90296.2868,108002,3.5,3.091646957,56,230.4078105,4.37,2.37,9.21,29
