region,RD,GRP,Wage,Unemp,ExpSci,HEdu,Stu,Bed,SO2,Green,Lib
Beijing,125390,16.42120706,166803,1.3,5.850551889,93,244.854689,5.93,0.47,16.40,23
Tianjin,9962,9.029628681,108002,3.5,3.091646957,56,230.4078105,4.37,2.37,9.21,29
Hebei,11732,4.623883035,72956,3.1,1.09158218,122,108.3929136,5.66,40.22,14.29,173
Shanxi,5718,4.566017699,69551,2.7,1.225279997,82,138.3325288,5.86,41.44,12.63,128
Inner Mongolia,3901,6.776586614,80563,3.7,0.558527792,53,104.2917323,6.34,39.79,18.71,117
Liaoning,16005,5.723678768,72891,4.2,1.288578595,115,160.1096048,7.21,39.57,11.97,130
Jilin,9011,4.357792642,73813,3.1,0.996079747,62,183.3656633,6.33,15.70,12.54,66
Heilongjiang ,7224,3.629080245,68416,3.5,0.841255018,81,144.5169288,7.00,22.74,12.43,110
Shanghai,36405,15.7147117,149377,3.6,4.762521885,64,161.1622735,6.03,1.46,8.73,23
Jiangsu,29191,12.34591326,96527,3.0,4.549550445,167,141.2488228,6.39,38.32,14.98,117
Zhejiang,10975,10.65841709,99654,2.5,5.133377698,108,108.7439316,5.99,11.40,14.03,103
Anhui,12115,5.830031417,79037,2.6,5.11280779,120,106.7990889,5.46,20.97,14.80,127
Fujian,6165,10.67077775,81814,3.5,2.627251656,90,130.4042285,5.09,11.78,15.03,94
Jiangxi,6461,5.305936562,73725,2.9,2.864032066,103,121.7411059,5.72,32.17,14.53,114
Shandong,14237,7.057351539,81446,3.3,2.846990994,146,109.4145978,6.25,47.25,17.57,154
Henan,14754,5.628547718,67268,3.2,2.076657356,141,124.1893154,6.64,16.44,13.59,164
Hubei,13603,7.732125865,79303,2.4,4.005917034,128,150.7506327,6.80,18.07,11.96,116
Hunan,7833,5.746186759,74316,2.7,2.139793538,125,108.1792426,7.32,22.82,11.81,141
Guangdong,24335,9.345635796,98889,2.3,6.756851285,154,100.6690391,4.73,19.72,18.13,146
Guangxi,5413,4.281681452,76479,2.6,1.236207392,78,105.3875,5.59,11.58,13.52,116
Hainan,2446,5.617915344,82227,2.3,1.619498547,20,125.6518519,5.27,1.23,10.57,24
Chongqing,11142,7.556264405,86559,2.6,1.634390059,65,150.5448143,7.42,12.89,16.61,43
Sichuan,41203,5.56606806,83367,3.3,1.787272532,126,112.7375522,7.54,26.38,14.03,206
Guizhou,4864,4.628578526,83298,3.1,1.918557543,72,102.4380348,7.31,40.70,16.38,98
Yunnan,8332,4.780516674,86585,3.3,0.871480291,81,96.90736929,6.42,26.49,11.88,151
Tibet,698,4.837094017,118118,2.9,0.33276197,7,72.74358974,4.87,1.25,9.80,81
Shaanxi,32993,6.654584623,78361,3.2,1.248225065,95,178.8539732,6.86,19.90,11.62,111
Gansu,7263,3.293653192,73607,3.0,0.743749367,49,112.1956932,6.84,14.44,14.28,104
Qinghai,1182,4.878207237,90929,2.2,0.556428982,12,69.29276316,6.82,6.08,11.93,52
Ningxia,725,5.393496403,83947,3.7,2.173414263,19,121.381295,5.90,16.00,21.05,27
Xinjiang,4044,5.389262782,79421,2.1,0.767756124,54,83.54379707,7.39,34.63,14.88,107
