region,RD,GRP,Wage,Unemp,ExpSci,HEdu,ExpEdu,Lib,Bed,SO2,Green
Beijing,125390,16.42120706,166803,1.3,0.058505519,244.854689,0.153503082,1.398328691,5.93,0.47,16.40
Tianjin,9962,9.029628681,108002,3.5,0.03091647,230.4078105,0.131515225,1.343790013,4.37,2.37,9.21
Hebei,11732,4.623883035,72956,3.1,0.010915822,108.3929136,0.184990083,0.403582719,5.66,40.22,14.29
Shanxi,5718,4.566017699,69551,2.7,0.0122528,138.3325288,0.147806299,0.543309198,5.86,41.44,12.63
Inner Mongolia,3901,6.776586614,80563,3.7,0.005585278,104.2917323,0.119580624,0.785826772,6.34,39.79,18.71
Liaoning,16005,5.723678768,72891,4.2,0.012885786,160.1096048,0.122257441,1.009880515,7.21,39.57,11.97
Jilin,9011,4.357792642,73813,3.1,0.009960797,183.3656633,0.127250586,0.805648458,6.33,15.70,12.54
Heilongjiang ,7224,3.629080245,68416,3.5,0.00841255,144.5169288,0.1107699,0.618235137,7.00,22.74,12.43
Shanghai,36405,15.7147117,149377,3.6,0.047625219,161.1622735,0.121734431,3.320840198,6.03,1.46,8.73
Jiangsu,29191,12.34591326,96527,3.0,0.045495504,141.2488228,0.176071197,1.225154895,6.39,38.32,14.98
Zhejiang,10975,10.65841709,99654,2.5,0.051333777,108.7439316,0.175538121,1.612478632,5.99,11.40,14.03
Anhui,12115,5.830031417,79037,2.6,0.051128078,106.7990889,0.165337341,0.490574929,5.46,20.97,14.80
Fujian,6165,10.67077775,81814,3.5,0.026272517,130.4042285,0.190735201,1.07072741,5.09,11.78,15.03
Jiangxi,6461,5.305936562,73725,2.9,0.028640321,121.7411059,0.179824012,0.569867124,5.72,32.17,14.53
Shandong,14237,7.057351539,81446,3.3,0.02846991,109.4145978,0.200762401,0.657000993,6.25,47.25,17.57
Henan,14754,5.628547718,67268,3.2,0.020766574,124.1893154,0.178150578,0.353630705,6.64,16.44,13.59
Hubei,13603,7.732125865,79303,2.4,0.04005917,150.7506327,0.143923435,0.71216467,6.80,18.07,11.96
Hunan,7833,5.746186759,74316,2.7,0.021397935,108.1792426,0.158072394,0.515611448,7.32,22.82,11.81
Guangdong,24335,9.345635796,98889,2.3,0.067568513,100.6690391,0.185601679,0.915111535,4.73,19.72,18.13
Guangxi,5413,4.281681452,76479,2.6,0.012362074,105.3875,0.173393768,0.585080645,5.59,11.58,13.52
Hainan,2446,5.617915344,82227,2.3,0.016194985,125.6518519,0.147153772,0.632804233,5.27,1.23,10.57
Chongqing,11142,7.556264405,86559,2.6,0.016343901,150.5448143,0.150228563,0.608514725,7.42,12.89,16.61
Sichuan,41203,5.56606806,83367,3.3,0.017872725,112.7375522,0.152575769,0.498149254,7.54,26.38,14.03
Guizhou,4864,4.628578526,83298,3.1,0.019185575,102.4380348,0.179469938,0.443279051,7.31,40.70,16.38
Yunnan,8332,4.780516674,86585,3.3,0.008714803,96.90736929,0.158025964,0.481268012,6.42,26.49,11.88
Tibet,698,4.837094017,118118,2.9,0.00332762,72.74358974,0.120333676,0.698005698,4.87,1.25,9.80
Shaanxi,32993,6.654584623,78361,3.2,0.012482251,178.8539732,0.166341991,0.541021672,6.86,19.90,11.62
Gansu,7263,3.293653192,73607,3.0,0.007437494,112.1956932,0.160960117,0.642236494,6.84,14.44,14.28
Qinghai,1182,4.878207237,90929,2.2,0.00556429,69.29276316,0.118781759,0.8125,6.82,6.08,11.93
Ningxia,725,5.393496403,83947,3.7,0.021734143,121.381295,0.124682783,1.077697842,5.90,16.00,21.05
Xinjiang,4044,5.389262782,79421,2.1,0.007677561,83.54379707,0.16236885,0.590566786,7.39,34.63,14.88
