region,RD,GRP,Wage,Unemp,ExpSci,HEdu,Stu,Bed,SO2,Green
Beijing,125390,16.42120706,166803,1.3,2012.163417,93,244.854689,5.93,0.47,16.40
Tianjin,9962,9.029628681,108002,3.5,703.7772087,56,230.4078105,4.37,2.37,9.21
Hebei,11732,4.623883035,72956,3.1,119.4678609,122,108.3929136,5.66,40.22,14.29
Shanxi,5718,4.566017699,69551,2.7,154.7868061,82,138.3325288,5.86,41.44,12.63
Inner Mongolia,3901,6.776586614,80563,3.7,112.1653543,53,104.2917323,6.34,39.79,18.71
Liaoning,16005,5.723678768,72891,4.2,170.1056985,115,160.1096048,7.21,39.57,11.97
Jilin,9011,4.357792642,73813,3.1,145.5964326,62,183.3656633,6.33,15.70,12.54
Heilongjiang ,7224,3.629080245,68416,3.5,112.3966942,81,144.5169288,7.00,22.74,12.43
Shanghai,36405,15.7147117,149377,3.6,1604.365733,64,161.1622735,6.03,1.46,8.73
Jiangsu,29191,12.34591326,96527,3.0,708.8475836,167,141.2488228,6.39,38.32,14.98
Zhejiang,10975,10.65841709,99654,2.5,882.1538462,108,108.7439316,5.99,11.40,14.03
Anhui,12115,5.830031417,79037,2.6,593.7009111,120,106.7990889,5.46,20.97,14.80
Fujian,6165,10.67077775,81814,3.5,335.7915933,90,130.4042285,5.09,11.78,15.03
Jiangxi,6461,5.305936562,73725,2.9,392.0274325,103,121.7411059,5.72,32.17,14.53
Shandong,14237,7.057351539,81446,3.3,303.6345581,146,109.4145978,6.25,47.25,17.57
Henan,14754,5.628547718,67268,3.2,218.9522822,141,124.1893154,6.64,16.44,13.59
Hubei,13603,7.732125865,79303,2.4,538.6873629,128,150.7506327,6.80,18.07,11.96
Hunan,7833,5.746186759,74316,2.7,248.5111304,125,108.1792426,7.32,22.82,11.81
Guangdong,24335,9.345635796,98889,2.3,1014.48659,154,100.6690391,4.73,19.72,18.13
Guangxi,5413,4.281681452,76479,2.6,145.8266129,78,105.3875,5.59,11.58,13.52
Hainan,2446,5.617915344,82227,2.3,318.5185185,20,125.6518519,5.27,1.23,10.57
Chongqing,11142,7.556264405,86559,2.6,253.6171575,65,150.5448143,7.42,12.89,16.61
Sichuan,41203,5.56606806,83367,3.3,220.8358209,126,112.7375522,7.54,26.38,14.03
Guizhou,4864,4.628578526,83298,3.1,315.0151808,72,102.4380348,7.31,40.70,16.38
Yunnan,8332,4.780516674,86585,3.3,121.449156,81,96.90736929,6.42,26.49,11.88
Tibet,698,4.837094017,118118,2.9,207.4074074,7,72.74358974,4.87,1.25,9.80
Shaanxi,32993,6.654584623,78361,3.2,184.1589267,95,178.8539732,6.86,19.90,11.62
Gansu,7263,3.293653192,73607,3.0,111.0313563,49,112.1956932,6.84,14.44,14.28
Qinghai,1182,4.878207237,90929,2.2,170.5592105,12,69.29276316,6.82,6.08,11.93
Ningxia,725,5.393496403,83947,3.7,449.7841727,19,121.381295,5.90,16.00,21.05
Xinjiang,4044,5.389262782,79421,2.1,161.7518827,54,83.54379707,7.39,34.63,14.88
