region,year,RD,GRP,Wage,Unemp,ExpSci,HEdu,Stu,Bed,SO2,Green,Lib
Beijing,2016,111272,106009.1663,111390,1.4,5.015947157,91,232.9221557,5.14,7.12,16.00,24
Tianjin,2016,10336,106904.9127,80090,3.5,3.737837796,55,215.970265,4.12,18.59,10.13,31
Hebei,2016,9400,40142.90909,50921,3.6,0.807856269,118,91.92754209,4.61,110.84,14.18,172
Shanxi,2016,5536,34843.04039,51803,3.5,1.094663406,79,123.349345,5.00,112.06,11.61,126
Inner Mongolia,2016,3513,71013.58025,57135,3.7,0.839885633,53,95.31819992,5.33,123.09,19.28,117
Liaoning,2016,14758,65424.50936,52332,3.4,1.537840196,116,162.223414,6.09,96.88,11.52,129
Jilin,2016,9126,51082.92772,51558,3.5,1.286562432,58,171.2110425,5.25,36.29,12.51,66
Heilongjiang ,2016,7766,39568.91396,48881,4.5,1.067237717,81,134.8284365,5.58,45.63,11.98,107
Shanghai,2016,33943,104030.8489,109174,4.0,4.390654375,67,152.063354,5.08,17.08,7.62,25
Jiangsu,2016,25283,87909.20261,66196,3.0,3.839555389,162,129.4516048,5.19,83.51,14.55,114
Zhejiang,2016,8618,77426.41271,66668,2.9,3.773559355,105,109.8353493,4.92,53.78,13.19,100
Anhui,2016,11463,35816.45508,55139,3.1,2.82381595,119,101.4887695,4.35,48.01,13.37,122
Fujian,2016,4977,67673.40453,57628,3.7,1.914243874,88,128.1008075,4.51,33.79,12.98,90
Jiangxi,2016,6040,36626.76303,50932,3.4,1.694938301,97,110.9853263,4.33,52.81,13.96,114
Shandong,2016,12660,63981.24302,57270,3.4,1.927876451,143,99.10185843,5.27,152.57,17.36,154
Henan,2016,15404,39031.81435,45403,3.0,1.224381742,129,105.0098101,5.16,114.43,10.16,158
Hubei,2016,16295,50495.88175,54367,2.6,2.565858558,126,147.6008202,5.86,55.14,11.01,112
Hunan,2016,8430,42609.77444,52357,4.1,1.156628357,124,100.002064,5.85,59.55,9.99,137
Guangdong,2016,15739,67114.52668,65788,2.5,4.439966323,143,95.93363444,4.02,67.83,17.40,140
Guangxi,2016,5250,35035.69641,52982,2.9,1.220757051,71,80.81588824,4.47,42.12,11.60,112
Hainan,2016,1199,40645.00549,57600,2.3,0.998846244,17,116.3062569,4.25,3.23,12.96,21
Chongqing,2016,4933,52095.69108,60543,3.6,1.204377637,64,146.9678489,5.85,49.58,16.99,43
Sichuan,2016,37334,36632.25256,58915,4.1,1.289628157,109,95.51913701,5.96,71.76,11.96,203
Guizhou,2016,3451,29752.29462,59701,3.3,1.489529128,59,79.80169972,5.57,85.30,12.94,96
Yunnan,2016,8295,28720.30789,52564,4.0,1.030378775,69,81.38928722,5.01,58.37,10.57,151
Tibet,2016,554,31678.7037,97849,2.5,0.391614669,6,71.5617284,4.33,0.54,11.65,79
Shaanxi,2016,31520,47513.47219,54994,3.4,1.308940005,92,184.1484313,5.59,73.50,12.57,110
Gansu,2016,7370,26116.61538,52942,2.1,1.009022043,45,111.8592308,4.91,57.06,12.23,103
Qinghai,2016,894,41106.29252,61090,3.2,0.740515853,12,60.26530612,5.87,15.08,10.48,49
Ningxia,2016,626,43589.37126,60380,4.0,1.515164824,18,111.6497006,5.06,35.76,18.11,26
Xinjiang,2016,4299,39511.86441,60117,2.9,1.09438693,44,68.59237288,6.37,77.83,11.50,107
Beijing,2017,113675,118127.6116,119928,1.4,4.460594028,91,235.5057524,5.39,3.32,16.01,24
Tianjin,2017,10907,114503.137,86305,3.5,3.383764526,55,215.9103713,4.21,7.06,10.59,31
Hebei,2017,10142,42932.32932,55334,3.7,1.209680752,120,94.87456493,4.83,78.94,14.31,172
Shanxi,2017,5634,35443.80771,53705,3.5,1.007915167,80,128.8079848,5.15,68.64,11.86,127
Inner Mongolia,2017,3851,71936.90476,61067,3.7,0.717528935,53,97.79960317,5.53,62.57,19.77,117
Liaoning,2017,15453,50815.21243,56015,3.8,1.345940006,116,162.3072179,6.50,50.77,11.33,130
Jilin,2017,9105,54068.05708,56098,3.5,1.143585353,60,174.0450055,5.53,18.81,13.37,66
Heilongjiang ,2017,7146,40500.36852,52435,4.2,1.062606746,82,135.2848118,5.79,33.82,11.91,108
Shanghai,2017,33804,116440.7025,119935,4.1,4.938762296,64,153.4157025,5.34,7.42,7.83,24
Jiangsu,2017,26019,96747.44343,71574,3.0,3.817086023,166,133.6355794,5.54,57.01,14.79,114
Zhejiang,2017,9019,84528.37209,73326,2.9,3.857613568,107,109.2497317,5.19,26.84,13.17,102
Anhui,2017,12254,39392.54358,59102,3.2,4.698575942,119,103.0829567,4.55,28.16,14.02,123
Fujian,2017,5405,74369.07589,61973,3.9,1.877719044,88,128.8551884,4.51,18.93,13.08,90
Jiangxi,2017,6138,40285.27875,56136,3.4,1.800147269,98,113.0115418,4.55,27.69,14.16,113
Shandong,2017,15213,68386.94079,62539,3.5,1.907435687,144,101.4768272,5.44,113.45,17.91,154
