region,year,RD,GRP,Wage,Unemp,ExpSci,HEdu,Stu,Bed,SO2,Green,Lib
Inner Mongolia,2016,3513,71013.58025,57135,3.7,0.839885633,53,95.31819992,5.33,123.09,19.28,117
Guangxi,2016,5250,35035.69641,52982,2.9,1.220757051,71,80.81588824,4.47,42.12,11.60,112
Chongqing,2016,4933,52095.69108,60543,3.6,1.204377637,64,146.9678489,5.85,49.58,16.99,43
Sichuan,2016,37334,36632.25256,58915,4.1,1.289628157,109,95.51913701,5.96,71.76,11.96,203
Guizhou,2016,3451,29752.29462,59701,3.3,1.489529128,59,79.80169972,5.57,85.30,12.94,96
Yunnan,2016,8295,28720.30789,52564,4.0,1.030378775,69,81.38928722,5.01,58.37,10.57,151
Tibet,2016,554,31678.7037,97849,2.5,0.391614669,6,71.5617284,4.33,0.54,11.65,79
Shaanxi,2016,31520,47513.47219,54994,3.4,1.308940005,92,184.1484313,5.59,73.50,12.57,110
Gansu,2016,7370,26116.61538,52942,2.1,1.009022043,45,111.8592308,4.91,57.06,12.23,103
Qinghai,2016,894,41106.29252,61090,3.2,0.740515853,12,60.26530612,5.87,15.08,10.48,49
Ningxia,2016,626,43589.37126,60380,4.0,1.515164824,18,111.6497006,5.06,35.76,18.11,26
Xinjiang,2016,4299,39511.86441,60117,2.9,1.09438693,44,68.59237288,6.37,77.83,11.50,107
Inner Mongolia,2017,3851,71936.90476,61067,3.7,0.717528935,53,97.79960317,5.53,62.57,19.77,117
Guangxi,2017,5167,37862.00909,57878,2.9,1.017628386,73,87.42228193,4.64,20.11,11.77,114
Chongqing,2017,6051,58204.03543,65545,3.7,1.289916313,65,146.1279528,6.26,28.83,16.86,43
Sichuan,2017,38410,39862.67248,63926,4.2,1.262222355,109,99.36782861,6.28,48.83,12.47,203
Guizhou,2017,3349,33127.22925,66279,3.2,1.625859852,64,84.85007032,5.92,64.71,14.98,98
Yunnan,2017,8865,30996.47873,60450,3.6,0.933678166,72,84.10375183,5.31,52.62,11.33,151
Tibet,2017,511,34785.8006,103232,2.6,0.30290054,7,72.24169184,4.37,0.54,7.84,81
Shaanxi,2017,31418,50877.49803,59637,3.3,1.412731212,93,177.6184107,5.91,31.80,12.30,110
Gansu,2017,7485,27587.62452,57575,2.2,0.832690482,49,111.7478927,5.15,27.20,13.94,103
Qinghai,2017,906,43380.94435,66589,3.1,0.714847849,12,60.9544688,5.86,11.37,10.78,49
Ningxia,2017,662,46942.07407,65570,3.9,1.455513575,18,112.9155556,5.38,23.69,18.30,26
Xinjiang,2017,4549,40240.61718,63739,2.5,1.086932882,46,70.46497081,6.54,48.07,12.22,107
Inner Mongolia,2018,3789,63646.54013,66679,3.6,0.743278594,53,99.70778964,5.94,54.63,19.66,117
Guangxi,2018,5198,37918.64893,63821,2.2,1.223171812,74,93.51791198,4.94,17.73,12.42,115
Chongqing,2018,5954,63169.85366,70889,3.4,1.367762229,65,147.5866667,6.71,25.34,17.05,43
Sichuan,2018,39830,44543.74849,69419,4.0,1.225680755,109,104.2048904,6.79,38.91,12.48,204
Guizhou,2018,4020,37823.54749,71795,3.2,1.901780372,70,88.56759777,6.51,68.75,15.25,98
Yunnan,2018,8563,34110.26869,69106,3.2,0.935065299,77,86.19683399,5.72,38.44,11.50,151
Tibet,2018,523,38899.70326,108817,2.7,0.504774249,7,71.84569733,4.78,0.35,5.85,81
Shaanxi,2018,32108,57102.50326,65181,3.3,1.641565922,93,174.8599739,6.29,27.94,12.64,110
Gansu,2018,7524,28407.84463,63374,2.7,0.781675564,49,111.3941356,5.58,25.88,14.87,103
Qinghai,2018,1137,43893.47826,75701,3.1,0.780167795,12,62.71237458,6.41,9.24,11.18,49
Ningxia,2018,697,50492.08211,70298,3.9,1.861186789,19,115.1304985,5.84,20.75,19.17,26
Xinjiang,2018,4407,44506.99387,67932,2.6,0.923178442,47,73.53660532,6.85,41.82,13.23,107
Inner Mongolia,2019,3900,68228.96606,73835,3.6,0.539174494,53,102.1235201,6.27,54.63,18.52,117
Guangxi,2019,5438,41316.50426,70606,2.3,1.213201927,75,99.79171742,5.20,17.73,13.05,116
Chongqing,2019,10475,65645.35783,78928,3.0,1.510476883,65,149.1163765,7.10,25.34,17.14,43
Sichuan,2019,38992,48768.88862,77686,3.5,1.523667268,119,109.4850737,7.18,38.91,12.97,204
Guizhou,2019,4498,41129.02778,78316,3.2,2.04545816,72,95.21944444,6.82,68.75,15.51,98
Yunnan,2019,8380,37020.95238,75701,3.4,0.904357674,79,91.09792961,6.03,38.44,11.85,151
Tibet,2019,549,42954.36047,116015,2.8,0.412040514,7,71.77616279,4.88,0.35,8.71,81
Shaanxi,2019,31382,63246.16977,71983,3.2,1.644903101,95,174.4549689,6.57,27.94,11.76,111
Gansu,2019,7534,31270.64846,70695,2.8,0.682355,49,111.1346227,6.17,25.88,13.65,103
Qinghai,2019,1167,47516.25207,85379,3.0,0.776967762,12,65.41956882,6.49,9.24,11.45,51
Ningxia,2019,708,53854.36047,78384,3.9,2.397361634,19,117.7732558,5.96,20.75,20.38,27
